Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,theta,M
1,5,5,0.3279,0.132885251251,0.00484865256,0.236352090187,4.9281,3.08674402729,SM-runs,0.236352090187,0.974288495404,0.242928918825,0.3,3
1,5,5,0.0565,0.022883400097,0.0182132349118,0.990491347227,11.4998,0.332520014435,SM-runs,0.990491347227,0.975646748024,0.987967403335,0.3,5
1,5,5,0.0522,0.0134074606097,0.0169122282442,0.991347069356,11.3393,0.372231124437,SM-runs,0.991347069356,0.977560102259,0.9890154938,0.3,100
2,5,5,0.2223,0.184575756805,0.00672933401825,0.519696509246,5.7218,2.32712048678,SM-runs,0.519696509246,0.976630240421,0.523005600409,0.3,3
2,5,5,0.0391,0.0176093725044,0.0128243988773,0.995051462785,7.7092,0.204180704279,SM-runs,0.995051462785,0.982746126429,0.992971921921,0.3,5
2,5,5,0.0413,0.0196267674363,0.0135460918235,0.995733424299,7.7988,0.227907788371,SM-runs,0.995733424299,0.981335393855,0.993296119592,0.3,100
3,5,5,0.033,0.0121655250606,0.0106571803669,0.994232563556,5.9112,0.114760446148,SM-runs,0.994232563556,0.985864483129,0.992816911823,0.3,3
3,5,5,0.0416,0.0122816936943,0.0133254434866,0.993708689985,5.9287,0.215399187556,SM-runs,0.993708689985,0.981449066613,0.991635341539,0.3,5
3,5,5,0.0293,0.0132291345144,0.00960014724807,0.99580777078,5.8401,0.231139113955,SM-runs,0.99580777078,0.987243312743,0.994364791152,0.3,100
4,5,5,0.0183,0.0041,0.0056622476239,0.995716593733,4.9655,0.0653930424434,SM-runs,0.995716593733,0.992108795454,0.995110370726,0.3,3
4,5,5,0.0161,0.00422965719651,0.00505626097732,0.996275730478,4.9839,0.0792798208878,SM-runs,0.996275730478,0.993200385742,0.995760458556,0.3,5
4,5,5,0.0153,0.0060835844697,0.00468190942164,0.995736952349,5.0243,0.0915292849311,SM-runs,0.995736952349,0.993627896631,0.995383709561,0.3,100
5,5,5,0.0286,0.0223973212684,0.00933277010452,0.996138566494,4.7963,0.160314097945,SM-runs,0.996138566494,0.987393109591,0.994649131474,0.3,3
5,5,5,0.0347,0.0199200903612,0.0116107582409,0.997096564222,4.62,0.159413926619,SM-runs,0.997096564222,0.984422235105,0.994947165355,0.3,5
5,5,5,0.0233,0.0201794449874,0.00770421918316,0.998090898207,4.7566,0.16676042696,SM-runs,0.998090898207,0.989347175537,0.996605229615,0.3,100
6,5,5,0.0396,0.0152262930485,0.0134234221403,0.998539520923,4.4219,0.0445206693571,SM-runs,0.998539520923,0.981708138742,0.995689731588,0.3,3
6,5,5,0.0253,0.00925256721132,0.0084986026336,0.99805751596,4.5064,0.136187517783,SM-runs,0.99805751596,0.988550534042,0.996455833987,0.3,5
6,5,5,0.0273,0.0196928921187,0.00903259643643,0.996883047495,4.5407,0.121033920865,SM-runs,0.996883047495,0.987874562056,0.995362774764,0.3,100
7,5,5,0.0343,0.00892244361148,0.0114753592276,0.996925952448,4.3123,0.119194001527,SM-runs,0.996925952448,0.984657194681,0.994857930841,0.3,3
7,5,5,0.0393,0.0175502136739,0.0133834791724,0.998142333787,4.3037,0.122185146397,SM-runs,0.998142333787,0.98219370733,0.995439619406,0.3,5
7,5,5,0.0324,0.0189166593245,0.0110607503545,0.999021082679,4.3831,0.0775325093106,SM-runs,0.999021082679,0.985044002658,0.996655037407,0.3,100
8,5,5,0.0317,0.0111897274319,0.0106609024176,0.998348171625,4.3014,0.0693746351342,SM-runs,0.998348171625,0.985372869814,0.996156326256,0.3,3
8,5,5,0.0431,0.0126289350303,0.0151729498819,0.999770114943,4.2657,0.0770312274341,SM-runs,0.999770114943,0.980527370247,0.996506480891,0.3,5
8,5,5,0.0419,0.0181463494951,0.0142002602675,0.999028589682,4.322,0.0990525113261,SM-runs,0.999028589682,0.980431275422,0.995867982875,0.3,100
9,5,5,0.0383,0.0155051604313,0.0129210716641,0.998060598052,4.2583,0.0536284439454,SM-runs,0.998060598052,0.982398684359,0.995408440883,0.3,3
9,5,5,0.0398,0.0129599382715,0.01367779899,0.999277100059,4.221,0.0868481433308,SM-runs,0.999277100059,0.98166399688,0.996290709317,0.3,5
9,5,5,0.0418,0.0138405202214,0.0143485372467,0.999285039676,4.1961,0.108827799757,SM-runs,0.999285039676,0.980688265301,0.996132095369,0.3,100
10,5,5,0.0332,0.00910823802939,0.0112513171308,0.99833307082,4.2235,0.0781130590875,SM-runs,0.99833307082,0.984820752096,0.996052846796,0.3,3
10,5,5,0.0313,0.0154210894557,0.0105645221762,0.998116316738,4.2048,0.0905381687467,SM-runs,0.998116316738,0.985796379861,0.996029746682,0.3,5
10,5,5,0.038,0.013827508814,0.0129622710285,0.998837461985,4.2492,0.0425271677872,SM-runs,0.998837461985,0.982509833418,0.996071298074,0.3,100
